id,label,comment
http://schema.org/about,à propos,Le sujet du contenu.
http://schema.org/abridged,abrégé,Indique si le livre est une édition abrégée.
http://schema.org/abstract,abstrait,"Un résumé est une courte description qui résume un <a class=""localLink"" href=""http://schema.org/CreativeWork"">CreativeWork</a>."
http://schema.org/accelerationTime,accélérationTemps,"Le temps nécessaire pour accélérer le véhicule d'une vitesse de départ donnée à une vitesse cible donnée.<br/><br/><br/><br/>Code(s) d'unité typique(s) : SEC pour secondes<br/><br/><br/><br/><ul><li>Remarque : il n'existe malheureusement pas de codes d'unités standard pour les secondes/0 à 100 km/h ou les secondes/0 à 60 mph. Utilisez simplement « SEC » pour les secondes et indiquez les vitesses dans le <a class=""localLink"" href=""http://schema.org/name"">nom</a> de la <a class=""localLink"" href=""http://schema.org/QuantitativeValue"">QuantitativeValue</a>, ou utilisez <a class=""localLink"" href=""http://schema.org/valueReference"">valueReference</a> avec une <a class=""localLink"" href=""http://schema.org/QuantitativeValue"">QuantitativeValue</a> de 0 à 60 mph ou de 0 à 100 km/h pour spécifier les vitesses de référence.</li></ul>"
http://schema.org/acceptedAnswer,Réponse acceptée,"La ou les réponses retenues comme meilleures, généralement sur un site de questions/réponses. Les mécanismes de sélection varient selon les sites, par exemple en fonction de l'opinion de la communauté et/ou de l'auteur de la question."
http://schema.org/acceptedOffer,Offre acceptée,"Les offres (par exemple, les combinaisons de produits, de quantités et de prix) incluses dans la commande."
http://schema.org/acceptedPaymentMethod,méthode de paiement acceptée,Le(s) mode(s) de paiement accepté(s) par le vendeur pour cette offre.
http://schema.org/acceptsReservations,accepte les réservations,"Indique si un établissement alimentaire accepte les réservations. Les valeurs peuvent être booléennes, une URL permettant d'effectuer des réservations ou (pour des raisons de rétrocompatibilité) les chaînes <code>Oui</code> ou <code>Non</code>."
http://schema.org/accessCode,code d'accès,"Mot de passe, code PIN ou code d'accès nécessaire pour la livraison (par exemple à partir d'un casier)."
http://schema.org/accessMode,mode d'accès,"Système sensoriel perceptif humain, ou faculté cognitive, permettant à une personne de traiter ou de percevoir l'information. Les valeurs attendues sont : auditif, tactile, textuel, visuel, colorDependent, chartOnVisual, chemOnVisual, diagramOnVisual, mathOnVisual, musicOnVisual, textOnVisual."
http://schema.org/accessModeSufficient,accessModeSuffisant,"Liste de modes d'accès simples ou combinés permettant de comprendre l'intégralité du contenu intellectuel d'une ressource. Les valeurs attendues sont : auditif, tactile, textuel et visuel."
http://schema.org/accessibilityAPI,API d'accessibilité,"Indique que la ressource est compatible avec l'API d'accessibilité référencée (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">le wiki WebSchemas répertorie les valeurs possibles</a>)."
http://schema.org/accessibilityControl,Contrôle d'accessibilité,"Identifie les méthodes de saisie suffisantes pour contrôler entièrement la ressource décrite (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">le wiki WebSchemas répertorie les valeurs possibles</a>)."
http://schema.org/accessibilityFeature,accessibilitéFonctionnalité,"Caractéristiques du contenu de la ressource, telles que les médias accessibles, les alternatives et les améliorations prises en charge pour l'accessibilité (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">le wiki WebSchemas répertorie les valeurs possibles</a>)."
http://schema.org/accessibilityHazard,risque d'accessibilité,"Une caractéristique de la ressource décrite qui présente un danger physiologique pour certains utilisateurs. En lien avec la directive WCAG 2.0 2.3 (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">le wiki WebSchemas répertorie les valeurs possibles</a>)."
http://schema.org/accessibilitySummary,accessibilitéRésumé,"Un résumé lisible par l'homme des fonctionnalités ou des déficiences spécifiques de l'accessibilité, cohérent avec les autres métadonnées d'accessibilité mais exprimant des subtilités telles que « de courtes descriptions sont présentes mais de longues descriptions seront nécessaires pour les utilisateurs non visuels » ou « de courtes descriptions sont présentes et aucune longue description n'est nécessaire »."
http://schema.org/accommodationCategory,Catégorie d'hébergement,"Catégorie d'un <a class=""localLink"" href=""http://schema.org/Accommodation"">Hébergement</a>, suivant les conventions immobilières, par exemple RESO (voir les champs <a href=""https://ddwiki.reso.org/display/DDW17/PropertySubType+Field"">PropertySubType</a> et <a href=""https://ddwiki.reso.org/display/DDW17/PropertyType+Field"">PropertyType</a> pour les valeurs suggérées)."
http://schema.org/accommodationFloorPlan,plan d'étage de l'hébergement,"Un plan d'étage de certains <a class=""localLink"" href=""http://schema.org/Accommodation"">Hébergement</a>."
http://schema.org/accountId,identifiant de compte,L'identifiant du compte sur lequel le paiement sera appliqué.
